timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594612896661,17,http://192.168.99.100:5000/Home-7,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,460,9,9,http://192.168.99.100:5000/js/semantic.js,0,0,4
1594612896672,9,http://192.168.99.100:5000/Home-8,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,462,9,9,http://192.168.99.100:5000/util/Mars-lib.js,0,0,3
1594612896672,9,http://192.168.99.100:5000/Home-9,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,488,9,9,http://192.168.99.100:5000/util/NotificationFx/js/modernizr.custom.js,0,0,2
1594612896673,8,http://192.168.99.100:5000/Home-10,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,479,9,9,http://192.168.99.100:5000/util/NotificationFx/js/classie.js,0,0,2
1594612896678,7,http://192.168.99.100:5000/Home-11,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,484,9,9,http://192.168.99.100:5000/util/NotificationFx/js/snap.svg-min.js,0,0,0
1594612896681,11,http://192.168.99.100:5000/Home-12,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,486,9,9,http://192.168.99.100:5000/util/NotificationFx/js/notificationFx.js,0,0,2
1594612896681,6,http://192.168.99.100:5000/Home-13,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,483,9,9,http://192.168.99.100:5000/util/NotificationFx/css/normalize.css,0,0,0
1594612896682,19,http://192.168.99.100:5000/Home-14,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,484,9,9,http://192.168.99.100:5000/util/NotificationFx/css/ns-default.css,0,0,2
1594612896686,5,http://192.168.99.100:5000/Home-15,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,491,9,9,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-attached.css,0,0,0
1594612896688,29,http://192.168.99.100:5000/Home-16,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,486,9,9,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-bar.css,0,0,0
1594612896692,24,http://192.168.99.100:5000/Home-17,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,488,9,9,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-growl.css,0,0,0
1594612896693,23,http://192.168.99.100:5000/Home-18,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,200,488,9,9,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-other.css,0,0,0
1594612896702,14,http://192.168.99.100:5000/Home-19,304,Not Modified,Login_Logout_ThreadGroup 1-9,text,true,,214,478,9,9,http://192.168.99.100:5000/js/react/dist/homePage.bundle.js,0,0,0
1594612897237,95,http://192.168.99.100:60190/profile/profile/isUserAuthenticated,200,OK,Login_Logout_ThreadGroup 1-9,text,true,,202,617,9,9,http://192.168.99.100:60190/profile/profile/isUserAuthenticated,94,0,1
1594612887312,724,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Login_Logout_ThreadGroup 1-9,,true,,14209,9990,9,9,null,125,9298,4
1594612900275,458,http://192.168.99.100:5000/Account/Profile,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,4649485,9308,8,8,http://192.168.99.100:5000/Account/Profile,21,0,4
1594612900275,21,http://192.168.99.100:5000/Account/Profile-0,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,2047,377,8,8,http://192.168.99.100:5000/Account/Profile,21,0,4
1594612900309,419,http://192.168.99.100:5000/Account/Profile-1,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,4602,442,8,8,"https://fonts.googleapis.com/css?family=Montserrat:400,700",418,0,220
1594612900309,424,http://192.168.99.100:5000/Account/Profile-2,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,3872,456,8,8,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic",423,0,223
1594612900310,23,http://192.168.99.100:5000/Account/Profile-3,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,462,8,8,http://192.168.99.100:5000/css/semantic.css,0,0,0
1594612900317,31,http://192.168.99.100:5000/Account/Profile-4,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,463,8,8,http://192.168.99.100:5000/css/MarsTheme.css,0,0,8
1594612900315,21,http://192.168.99.100:5000/Account/Profile-5,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,463,8,8,http://192.168.99.100:5000/css/scheduler.css,0,0,7
1594612900316,21,http://192.168.99.100:5000/Account/Profile-6,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,464,8,8,http://192.168.99.100:5000/js/jquery-3.2.1.js,0,0,7
1594612900334,14,http://192.168.99.100:5000/Account/Profile-7,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,460,8,8,http://192.168.99.100:5000/js/semantic.js,0,0,3
1594612900336,16,http://192.168.99.100:5000/Account/Profile-8,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,462,8,8,http://192.168.99.100:5000/util/Mars-lib.js,0,0,12
1594612900338,15,http://192.168.99.100:5000/Account/Profile-9,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,488,8,8,http://192.168.99.100:5000/util/NotificationFx/js/modernizr.custom.js,0,0,10
1594612900349,11,http://192.168.99.100:5000/Account/Profile-10,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,479,8,8,http://192.168.99.100:5000/util/NotificationFx/js/classie.js,0,0,4
1594612900349,8,http://192.168.99.100:5000/Account/Profile-11,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,484,8,8,http://192.168.99.100:5000/util/NotificationFx/js/snap.svg-min.js,0,0,0
1594612900353,5,http://192.168.99.100:5000/Account/Profile-12,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,214,486,8,8,http://192.168.99.100:5000/util/NotificationFx/js/notificationFx.js,0,0,0
1594612900353,8,http://192.168.99.100:5000/Account/Profile-13,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,483,8,8,http://192.168.99.100:5000/util/NotificationFx/css/normalize.css,0,0,2
1594612900357,10,http://192.168.99.100:5000/Account/Profile-14,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,484,8,8,http://192.168.99.100:5000/util/NotificationFx/css/ns-default.css,0,0,2
1594612900358,5,http://192.168.99.100:5000/Account/Profile-15,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,491,8,8,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-attached.css,0,0,0
1594612900361,4,http://192.168.99.100:5000/Account/Profile-16,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,486,8,8,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-bar.css,0,0,0
1594612900361,5,http://192.168.99.100:5000/Account/Profile-17,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,488,8,8,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-growl.css,0,0,0
1594612900363,4,http://192.168.99.100:5000/Account/Profile-18,304,Not Modified,Login_Logout_ThreadGroup 1-4,text,true,,200,488,8,8,http://192.168.99.100:5000/util/NotificationFx/css/ns-style-other.css,0,0,0
1594612900365,183,http://192.168.99.100:5000/Account/Profile-19,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,4635666,402,8,8,http://192.168.99.100:5000/js/react/dist/myAccountProfile.bundle.js,4,0,0
1594612900735,229,http://192.168.99.100:60190/notification/notification/getNotification?numberOfNotifications=5,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,213,619,8,8,http://192.168.99.100:60190/notification/notification/getNotification?numberOfNotifications=5,228,0,3
1594612900965,199,http://192.168.99.100:60190/notification/notification/getNewNotificationCount,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,213,603,8,8,http://192.168.99.100:60190/notification/notification/getNewNotificationCount,199,0,0
1594612901169,98,http://192.168.99.100:51689/listing/listing/getBalance,200,OK,Login_Logout_ThreadGroup 1-4,text,true,,191,580,8,8,http://192.168.99.100:51689/listing/listing/getBalance,97,0,3
1594612900847,461,http://192.168.99.100:5000/Home,200,OK,Login_Logout_ThreadGroup 1-5,text,true,,14007,9373,8,8,http://192.168.99.100:5000/Home,33,0,3
1594612900847,34,http://192.168.99.100:5000/Home-0,200,OK,Login_Logout_ThreadGroup 1-5,text,true,,2021,366,8,8,http://192.168.99.100:5000/Home,33,0,3
1594612900893,415,http://192.168.99.100:5000/Home-1,200,OK,Login_Logout_ThreadGroup 1-5,text,true,,4602,442,8,8,"https://fonts.googleapis.com/css?family=Montserrat:400,700",415,0,220
1594612900890,418,http://192.168.99.100:5000/Home-2,200,OK,Login_Logout_ThreadGroup 1-5,text,true,,3872,456,8,8,"https://fonts.googleapis.com/css?family=Lato:400,700,400italic,700italic",418,0,223
1594612900890,13,http://192.168.99.100:5000/Home-3,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,200,462,8,8,http://192.168.99.100:5000/css/semantic.css,0,0,0
1594612900891,18,http://192.168.99.100:5000/Home-4,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,200,463,8,8,http://192.168.99.100:5000/css/MarsTheme.css,0,0,11
1594612900891,18,http://192.168.99.100:5000/Home-5,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,200,463,8,8,http://192.168.99.100:5000/css/scheduler.css,0,0,11
1594612900893,16,http://192.168.99.100:5000/Home-6,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,464,8,8,http://192.168.99.100:5000/js/jquery-3.2.1.js,0,0,9
1594612900904,12,http://192.168.99.100:5000/Home-7,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,460,8,8,http://192.168.99.100:5000/js/semantic.js,0,0,2
1594612900910,23,http://192.168.99.100:5000/Home-8,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,462,8,8,http://192.168.99.100:5000/util/Mars-lib.js,0,0,2
1594612900909,24,http://192.168.99.100:5000/Home-9,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,488,8,8,http://192.168.99.100:5000/util/NotificationFx/js/modernizr.custom.js,0,0,3
1594612900910,23,http://192.168.99.100:5000/Home-10,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,479,8,8,http://192.168.99.100:5000/util/NotificationFx/js/classie.js,0,0,1
1594612900917,16,http://192.168.99.100:5000/Home-11,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,484,8,8,http://192.168.99.100:5000/util/NotificationFx/js/snap.svg-min.js,0,0,0
1594612900933,5,http://192.168.99.100:5000/Home-12,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,214,486,8,8,http://192.168.99.100:5000/util/NotificationFx/js/notificationFx.js,0,0,0
1594612900933,5,http://192.168.99.100:5000/Home-13,304,Not Modified,Login_Logout_ThreadGroup 1-5,text,true,,200,483,8,8,http://192.168.99.100:5000/util/NotificationFx/css/normalize.css,0,0,0
